Reviewer Name,Review Title,Place of Review,Up Votes,Down Votes,Month,Review text,Ratings,Cleaned Review Text,Sentiment
Krishna  pasala,Fair,"Certified Buyer, Dharmavaram",0.0,0.0,May 2020,Original product thanks to flip cardsREAD MORE,4,original product thanks to flip cardsread more,Positive
Namathoti  Joseph ,Good product,"Certified Buyer, Guntur",0.0,0.0,May 2020,Excellent work by flipkartREAD MORE,5,excellent work by flipkartread more,Positive
Flipkart Customer,Excellent,"Certified Buyer, West Godavari District",0.0,0.0,May 2020,GoodREAD MORE,5,goodread more,Positive
Flipkart Customer,Excellent,"Certified Buyer, Uttara Kannada District",0.0,0.0,May 2020,Not moving quick. I have better experience with MAVIS 200iREAD MORE,2,not moving quick i have better experience with mavis 200iread more,Positive
Flipkart Customer,Must buy!,"Certified Buyer, Mumbai",0.0,0.0,May 2020,OkREAD MORE,5,okread more,Positive
Thakur Aditya,Perfect product!,"Certified Buyer, Lucknow",0.0,0.0,May 2020,FineREAD MORE,5,fineread more,Positive
Flipkart Customer,Highly recommended,"Certified Buyer, Bhimadole",0.0,0.0,May 2020,Good Product by flipkart. Thanks for faster deliveryREAD MORE,5,good product by flipkart thanks for faster deliveryread more,Positive
Flipkart Customer,Brilliant,"Certified Buyer, Bilaspur",0.0,0.0,May 2020,Nice qualityREAD MORE,5,nice qualityread more,Positive
Ajin RL,Fabulous!,"Certified Buyer, Painkulam",0.0,0.0,May 2020,GoodREAD MORE,4,goodread more,Positive
Sai sagar Kundala,Mind-blowing purchase,"Certified Buyer, Tuni",0.0,0.0,May 2020,GoodREAD MORE,5,goodread more,Positive
Flipkart Customer,Value-for-money,"Certified Buyer, Tinsukia District",0.0,0.0,May 2020,Good productREAD MORE,3,good productread more,Positive
Sadi Chiranjeevi,Terrific,"Certified Buyer, Visakhapatnam",0.0,0.0,May 2020,GoodREAD MORE,4,goodread more,Positive
Flipkart Customer,Delightful,"Certified Buyer, Purba Champaran District",0.0,0.0,May 2020,Nice 👌👌👌👌READ MORE,5,nice read more,Positive
Sunil Pitta,Brilliant,"Certified Buyer, Hyderabad",0.0,0.0,May 2020,ExcellentREAD MORE,5,excellentread more,Positive
Madhavi Potla,Terrific purchase,"Certified Buyer, Peddapuram",0.0,0.0,May 2020,Awesome product and highly durableREAD MORE,5,awesome product and highly durableread more,Positive
Dheeraj  Singh,Mind-blowing purchase,"Certified Buyer, Bahadurganj",0.0,0.0,May 2020,very nice product 👌👌 at a better priceREAD MORE,5,very nice product  at a better priceread more,Positive
Lucky Potla,Fabulous!,"Certified Buyer, Peddapuram",0.0,0.0,May 2020,Nice product good performanceREAD MORE,5,nice product good performanceread more,Positive
Karan Kumar,Brilliant,"Certified Buyer, Bengaluru",0.0,0.0,May 2020,GoodREAD MORE,5,goodread more,Positive
parmod  goyal,Fabulous!,"Certified Buyer, Industrial Estate Barwala",0.0,0.0,May 2020,Good oneREAD MORE,5,good oneread more,Positive
K V D  Kumar,Good quality product,"Certified Buyer, Rajahmundry",0.0,0.0,May 2020,Good productREAD MORE,5,good productread more,Positive
Raju Ram Yadav,Classy product,"Certified Buyer, Alwar",0.0,0.0,May 2020,Too goodREAD MORE,4,too goodread more,Positive
Flipkart Customer,Does the job,"Certified Buyer, Hathras",0.0,0.0,May 2020,NiceeeREAD MORE,5,niceeeread more,Positive
Rajesh Rajendran,Perfect product!,"Certified Buyer, Kollam District",0.0,0.0,May 2020,good shuttleREAD MORE,4,good shuttleread more,Positive
Prabhash%20 Ray,Worth the money,"Certified Buyer, Bhubaneswar",0.0,0.0,May 2020,Good one.READ MORE,5,good oneread more,Positive
Flipkart Customer,Value-for-money,"Certified Buyer, Anantapur",0.0,0.0,May 2020,NiceREAD MORE,5,niceread more,Positive
Gowthamsaikiran Uppuluri,Super!,"Certified Buyer, Nidadavole",0.0,0.0,May 2020,From the beginning i like these shuttles.I am happy to buy it again.READ MORE,5,from the beginning i like these shuttlesi am happy to buy it againread more,Positive
Biplab Chatterjee,Great product,"Certified Buyer, Maithon",0.0,0.0,May 2020,SuperREAD MORE,5,superread more,Positive
Flipkart Customer,Awesome,"Certified Buyer, Allahabad",0.0,0.0,May 2020,I think most of people know about this product who play badminton so no need to tell about this productREAD MORE,5,i think most of people know about this product who play badminton so no need to tell about this productread more,Positive
Aashutosh Kumar ,Worth every penny,"Certified Buyer, Rafiganj",0.0,0.0,May 2020,GoodREAD MORE,5,goodread more,Positive
Flipkart Customer,Classy product,"Certified Buyer, Itanagar",0.0,0.0,May 2020,Good quality and reasonable priceREAD MORE,4,good quality and reasonable priceread more,Positive
Flipkart Customer,Mind-blowing purchase,"Certified Buyer, Pathankot",0.0,0.0,May 2020,Great One!READ MORE,5,great oneread more,Positive
Janapati Siva Kumar,Nice,"Certified Buyer, Tadipatri",0.0,0.0,May 2020,GoodREAD MORE,3,goodread more,Positive
SAMBASIVARAO G,Fabulous!,"Certified Buyer, Hyderabad",0.0,0.0,May 2020,Good quality original shuttleREAD MORE,5,good quality original shuttleread more,Positive
Sumit Solanki,Great product,"Certified Buyer, Etah",0.0,0.0,May 2020,Great product..READ MORE,4,great productread more,Positive
SHER  SINGH,Nice product,"Certified Buyer, Mussoorie",0.0,0.0,May 2020,NiceREAD MORE,4,niceread more,Positive
Bharat Bagga,Good,"Certified Buyer, Allahabad",0.0,0.0,May 2020,Original brandREAD MORE,5,original brandread more,Positive
Flipkart Customer,Just wow!,"Certified Buyer, Jamshedpur",0.0,0.0,May 2020,Awesome.READ MORE,5,awesomeread more,Positive
dalbir chhetri,Nice product,"Certified Buyer, Khamgaon",0.0,0.0,May 2020,Nice one..READ MORE,5,nice oneread more,Positive
Flipkart Customer,Best in the market!,"Certified Buyer, Gorakhpur",0.0,0.0,May 2020,Best playing experience with this shuttle cork..............It's amazing productREAD MORE,5,best playing experience with this shuttle corkits amazing productread more,Positive
Pavan  Kumar,Must buy!,"Certified Buyer, East Godavari District",0.0,0.0,May 2020,Need moreREAD MORE,5,need moreread more,Positive
Arjun  K,Best in the market!,"Certified Buyer, Bellary",0.0,0.0,May 2020,It is soo nice .l like to play with it in indoorREAD MORE,5,it is soo nice l like to play with it in indoorread more,Positive
Flipkart Customer,Worth every penny,"Certified Buyer, East Godavari District",0.0,0.0,May 2020,GoodREAD MORE,3,goodread more,Positive
Praveen Kumar,Best in the market!,"Certified Buyer, Prakasam District",0.0,0.0,May 2020,OkREAD MORE,5,okread more,Positive
Flipkart Customer,Fabulous!,"Certified Buyer, Taliparamba",0.0,0.0,May 2020,Delivery at time and all the safety precautions has been followed by the delivery manREAD MORE,5,delivery at time and all the safety precautions has been followed by the delivery manread more,Positive
Golakoti Srinivasa rao,Value-for-money,"Certified Buyer, Amalapuram",0.0,0.0,May 2020,ExcellentREAD MORE,4,excellentread more,Positive
mars mars,Great product,"Certified Buyer, Madhyamgram",0.0,0.0,May 2020,Could've been a bit heavier.READ MORE,3,couldve been a bit heavierread more,Positive
Vijay Santhosh,Super!,"Certified Buyer, Tuni",0.0,0.0,May 2020,Excellent product from FlipkartREAD MORE,5,excellent product from flipkartread more,Positive
Nagendra Babu,Fair,"Certified Buyer, Kakinada",0.0,0.0,May 2020,Nice shuttle . Must buy . It is better than the other brandsREAD MORE,4,nice shuttle  must buy  it is better than the other brandsread more,Positive
Bhargava Sundeep,Good,"Certified Buyer, Visakhapatnam",0.0,0.0,May 2020,NiceREAD MORE,5,niceread more,Positive
Mohammad Khalid,Terrific purchase,"Certified Buyer, Gorakhpur",0.0,0.0,May 2020,Nic product...READ MORE,5,nic productread more,Positive
Murthy g,Wonderful,"Certified Buyer, Ntpc Simhadri Township",0.0,0.0,May 2020,GoodREAD MORE,5,goodread more,Positive
Guruprasad Battathur,Decent product,"Certified Buyer, Kasaragod District",0.0,0.0,May 2020,SuperREAD MORE,5,superread more,Positive
lalita songara,Excellent,"Certified Buyer, Barmer",0.0,0.0,May 2020,GoodREAD MORE,5,goodread more,Positive
Flipkart Customer,Just okay,"Certified Buyer, Kozhikode",0.0,0.0,May 2020,GoodREAD MORE,5,goodread more,Positive
Abhishek M shettar,Good choice,"Certified Buyer, Haveri District",0.0,0.0,May 2020,nice productREAD MORE,4,nice productread more,Positive
Powra Pavan Kumar,Highly recommended,"Certified Buyer, Tadpatri",0.0,0.0,May 2020,Nice productREAD MORE,5,nice productread more,Positive
Flipkart Customer,Worth every penny,"Certified Buyer, Uravakonda",0.0,0.0,May 2020,Very valuable for this price in lockdown timeREAD MORE,5,very valuable for this price in lockdown timeread more,Positive
Flipkart Customer,Must buy!,"Certified Buyer, Chennai",0.0,0.0,May 2020,AverageREAD MORE,3,averageread more,Positive
Flipkart Customer,Must buy!,"Certified Buyer, Chodavaram",0.0,0.0,May 2020,One shuttle for 3-4 days onlyREAD MORE,3,one shuttle for 34 days onlyread more,Positive
R Vijay Amruth Raj,Terrific purchase,"Certified Buyer, Anantapur",0.0,0.0,May 2020,Superb product.READ MORE,5,superb productread more,Positive
Janapati Siva Kumar,Hated it!,"Certified Buyer, Tadipatri",0.0,0.0,May 2020,GoodREAD MORE,4,goodread more,Positive
Kishor  Ugale,Fabulous!,"Certified Buyer, Ahmadnagar District",0.0,0.0,May 2020,avgREAD MORE,3,avgread more,Positive
Ravi Dronamraju,Must buy!,"Certified Buyer, Kodagu District",0.0,0.0,May 2020,NiceREAD MORE,5,niceread more,Positive
Harsh Lakhotia,Terrific,"Certified Buyer, Ghaziabad",0.0,0.0,May 2020,very goodREAD MORE,3,very goodread more,Positive
Flipkart Customer,Terrific,"Certified Buyer, Faizabad District",0.0,0.0,May 2020,GoodREAD MORE,4,goodread more,Positive
venki k,Awesome,"Certified Buyer, Bangalore",0.0,0.0,May 2020,Must buyyyREAD MORE,5,must buyyyread more,Positive
Rajabhakshi C B,Delightful,"Certified Buyer, Bellary District",0.0,0.0,May 2020,Good product.READ MORE,5,good productread more,Positive
Flipkart Customer,Mind-blowing purchase,"Certified Buyer, Ernad",0.0,0.0,May 2020,Good productREAD MORE,5,good productread more,Positive
Amir Shadab,Bad quality,"Certified Buyer, Darbhang",0.0,0.0,May 2020,Nice productREAD MORE,5,nice productread more,Positive
Flipkart Customer,Highly recommended,"Certified Buyer, Pune",0.0,0.0,May 2020,Super fast delivery thanku pruthvi delivery boyREAD MORE,5,super fast delivery thanku pruthvi delivery boyread more,Positive
Abhilash G Thevalakkara,Don't waste your money,"Certified Buyer, Wayanad District",0.0,0.0,May 2020,Not Good It is so HardREAD MORE,1,not good it is so hardread more,Positive
Flipkart Customer,Awesome,"Certified Buyer, Gumla District",0.0,0.0,May 2020,Super it's really amazingREAD MORE,5,super its really amazingread more,Positive
Tarakaraman K,Fair,"Certified Buyer, Bellary District",0.0,0.0,May 2020,Good product. We play daily for 2 hrs. Each shuttle comes for a week atleastREAD MORE,5,good product we play daily for 2 hrs each shuttle comes for a week atleastread more,Positive
Peela Siva Rama Krishna,Does the job,"Certified Buyer, Tuni",0.0,0.0,May 2020,"Very nice, used mavis 10 before, but this is on another level. U can feel the difference only after using it.READ MORE",5,very nice used mavis 10 before but this is on another level u can feel the difference only after using itread more,Positive
Kannan P,Must buy!,"Certified Buyer, Chennai",0.0,0.0,May 2020,Best in businessREAD MORE,5,best in businessread more,Positive
Mukesh  Kumar,Very poor,"Certified Buyer, Udhampur",0.0,0.0,Apr 2020,Good shuttles. Felt like bit expensive than sports shop.READ MORE,5,good shuttles felt like bit expensive than sports shopread more,Positive
Kaushal Ambasana,Just okay,"Certified Buyer, Kheda District",0.0,0.0,Apr 2020,"Nice, perfect shot & quality product...READ MORE",4,nice perfect shot  quality productread more,Positive
Flipkart Customer,Good quality product,"Certified Buyer, Repalle",0.0,0.0,Apr 2020,goodREAD MORE,5,goodread more,Positive
Flipkart Customer,Bad quality,"Certified Buyer, Jamkhandi",0.0,0.0,Mar 2020,It's not long lasting I'm playing only 1 days and this product Was damaged I'm very disappointed for this productREAD MORE,2,its not long lasting im playing only 1 days and this product was damaged im very disappointed for this productread more,Negative
ANUBHAV R L,Great product,"Certified Buyer, Thiruvananthapuram",0.0,0.0,Mar 2020,Value for moneyREAD MORE,5,value for moneyread more,Positive
Flipkart Customer,Fair,"Certified Buyer, Kalaburgi",0.0,0.0,Mar 2020,AverageREAD MORE,1,averageread more,Positive
RAMBABU REDDY RAMPATRUNI,Highly recommended,"Certified Buyer, Rajahmundry",0.0,0.0,Mar 2020,awsomeREAD MORE,5,awsomeread more,Positive
ARJUN CHOPPA,Very poor,"Certified Buyer, Vizianagaram District",0.0,0.0,Mar 2020,Not up to the markREAD MORE,3,not up to the markread more,Positive
Chethan Kumar G R,Mind-blowing purchase,"Certified Buyer, Jodhpur",0.0,0.0,Mar 2020,GoodREAD MORE,3,goodread more,Positive
Sankar Achari,Worth the money,"Certified Buyer, Kurnool District",0.0,0.0,Mar 2020,GoodREAD MORE,5,goodread more,Positive
Sarat Kumar,Terrific purchase,"Certified Buyer, Chipurupalle",0.0,0.0,Mar 2020,product quality is not goodREAD MORE,1,product quality is not goodread more,Positive
priyanshu Kumar,Nice product,"Certified Buyer, Anandapur",0.0,0.0,Mar 2020,Break in just 2-3 SetsREAD MORE,3,break in just 23 setsread more,Positive
Flipkart Customer,Worth the money,"Certified Buyer, Durgapur",0.0,0.0,Mar 2020,Best of outderREAD MORE,4,best of outderread more,Positive
Gyanjee Ojha,Awesome,"Certified Buyer, Ghaziabad",0.0,0.0,Mar 2020,Very badREAD MORE,2,very badread more,Positive
Rajneesh Pandey,Classy product,"Certified Buyer, Jaipur",0.0,0.0,Mar 2020,Nic productREAD MORE,5,nic productread more,Positive
Kumar shashi Ranjan,Fabulous!,"Certified Buyer, Jorhat",0.0,0.0,Mar 2020,Good product service is goodREAD MORE,3,good product service is goodread more,Positive
tejasai Kumar,Great product,"Certified Buyer, Sanivarapupeta",0.0,0.0,Mar 2020,Good ProductREAD MORE,5,good productread more,Positive
shubhankar sarkar,Terrific,"Certified Buyer, Chandrapur",0.0,0.0,Mar 2020,Bad quality and doesn't lasts for more than 5 games. Both base and shuttle are separated automatically while playing. I was hear fully disappointed with the quality of the product.READ MORE,1,bad quality and doesnt lasts for more than 5 games both base and shuttle are separated automatically while playing i was hear fully disappointed with the quality of the productread more,Negative
sachin Vashappanavar,Awesome,"Certified Buyer, Belur Industrial Area",0.0,0.0,Mar 2020,Nice one.READ MORE,5,nice oneread more,Positive
Dev Amal,Best in the market!,"Certified Buyer, Ernakulam District",0.0,0.0,Mar 2020,Very niceREAD MORE,4,very niceread more,Positive
Naveen Boopathi,Just wow!,"Certified Buyer, Chennai",0.0,0.0,Mar 2020,What a fast delivery...superbREAD MORE,5,what a fast deliverysuperbread more,Positive
jagadish v,Not good,"Certified Buyer, Bengaluru",0.0,0.0,Mar 2020,Better than mavis 10 and 1000READ MORE,4,better than mavis 10 and 1000read more,Positive
Atam,Terrific purchase,"Certified Buyer, Jorhat",0.0,0.0,Mar 2020,good product 👍excellentREAD MORE,4,good product excellentread more,Positive
Pavan Kumar,Great product,"Certified Buyer, Adilabad District",0.0,0.0,Mar 2020,Good quality.READ MORE,5,good qualityread more,Positive
Umesh S,Super!,"Certified Buyer, Bangalore",0.0,0.0,Mar 2020,Quality is better than yellowREAD MORE,5,quality is better than yellowread more,Positive
Flipkart Customer,Excellent,"Certified Buyer, Moradabad",0.0,0.0,Mar 2020,Finally got original productREAD MORE,5,finally got original productread more,Positive
Flipkart Customer,Must buy!,"Certified Buyer, Satna",0.0,0.0,Mar 2020,ExcellentREAD MORE,5,excellentread more,Positive
Naim Ahmed,Best in the market!,"Certified Buyer, Tezpur",0.0,0.0,Mar 2020,GoodREAD MORE,5,goodread more,Positive
Gautam Soni,Must buy!,"Certified Buyer, Chapra",0.0,0.0,Mar 2020,Good shuttleREAD MORE,5,good shuttleread more,Positive
Palash Shende ,Classy product,"Certified Buyer, Chikhala",0.0,0.0,Mar 2020,"Orginal shuttle. Best buy while comparing same product from shops, shop one's don't last more and goes like bullet. This one is really fun to play with. Feel is excellent.READ MORE",5,orginal shuttle best buy while comparing same product from shops shop ones dont last more and goes like bullet this one is really fun to play with feel is excellentread more,Positive
Tony Tom,Terrific,"Certified Buyer, Kottayam",0.0,0.0,Mar 2020,Good product.READ MORE,5,good productread more,Positive
kattam chandu,Value-for-money,"Certified Buyer, Ashwaraopet",0.0,0.0,Mar 2020,"Poor quality, very old stock provided.READ MORE",2,poor quality very old stock providedread more,Positive
Uday Saini,Worst experience ever!,"Certified Buyer, Babina",0.0,0.0,Mar 2020,Very good shuttle Superp durability compared to other.Original Very reliableIn budget item.READ MORE,5,very good shuttle superp durability compared to otheroriginal very reliablein budget itemread more,Positive
JITHIN G,Good,"Certified Buyer, Kottayam District",0.0,0.0,Mar 2020,Super product it lasts for 3 to 4 yearsREAD MORE,5,super product it lasts for 3 to 4 yearsread more,Positive
Venky,Just okay,"Certified Buyer, Bijapur District",0.0,0.0,Mar 2020,Good qualityREAD MORE,5,good qualityread more,Positive
Flipkart Customer,Terrific purchase,"Certified Buyer, Anantapur",0.0,0.0,Mar 2020,Very happy with the quality and deliveryREAD MORE,5,very happy with the quality and deliveryread more,Positive
Narendra Kumar,Excellent,"Certified Buyer, Netarhat",0.0,0.0,Mar 2020,Good productREAD MORE,5,good productread more,Positive
BADMINTON LOVERS,Nice product,"Certified Buyer, Along",0.0,0.0,Mar 2020,Good quality productREAD MORE,5,good quality productread more,Positive
bhukya suresh,Super!,"Certified Buyer, Sibsagar",0.0,0.0,Mar 2020,best shuttle in less price nice 😊😊😊😊😊READ MORE,5,best shuttle in less price nice read more,Positive
Naga Babu,Fabulous!,"Certified Buyer, Hyderabad",0.0,0.0,Mar 2020,Good productREAD MORE,5,good productread more,Positive
Srinivas Balla,Good choice,"Certified Buyer, Karimnagar",0.0,0.0,Mar 2020,SuperbREAD MORE,5,superbread more,Positive
Sarim Timung,Classy product,"Certified Buyer, Diphu",0.0,0.0,Mar 2020,BestREAD MORE,4,bestread more,Positive
Ravi  Saligoudar,Terrific,"Certified Buyer, Dharwar",0.0,0.0,Mar 2020,Very bad 😧👎 quality this packREAD MORE,1,very bad  quality this packread more,Negative
Flipkart Customer,Pretty good,"Certified Buyer, Tirunelveli",0.0,0.0,Mar 2020,Good product fast delivery flipkart.READ MORE,3,good product fast delivery flipkartread more,Positive
Flipkart Customer,Very Good,"Certified Buyer, Thuvakudi",0.0,0.0,Mar 2020,GoodREAD MORE,3,goodread more,Positive
Santosh Bobate,Good choice,"Certified Buyer, Gadchiroli",0.0,0.0,Mar 2020,Well fine and good Got the product in timeREAD MORE,5,well fine and good got the product in timeread more,Positive
Asifuddinsk  Sk,Good quality product,"Certified Buyer, Murshidabad District",0.0,0.0,Mar 2020,Good for beginnersREAD MORE,5,good for beginnersread more,Positive
Shrenik Bora,Awesome,"Certified Buyer, Ahmadnagar District",0.0,0.0,Mar 2020,my experience was quite good with this product till date.READ MORE,4,my experience was quite good with this product till dateread more,Positive
Flipkart Customer,Good choice,"Certified Buyer, Ghazipur",0.0,0.0,Mar 2020,Very niceREAD MORE,5,very niceread more,Positive
Flipkart Customer,Nice product,"Certified Buyer, Tiruppur",0.0,0.0,Mar 2020,GoodREAD MORE,5,goodread more,Positive
Rituraj  Sarmah,Good quality product,"Certified Buyer, Jorhat",0.0,0.0,Mar 2020,GoodREAD MORE,4,goodread more,Positive
Chitta,Excellent ,"Certified Buyer, Cuttack",0.0,0.0,Mar 2020,Genuine product!READ MORE,5,genuine productread more,Positive
Jitendra Sharma,Brilliant,"Certified Buyer, New Delhi",0.0,0.0,Mar 2020,Shuttles at there bestREAD MORE,5,shuttles at there bestread more,Positive
Pruthvi  A S,Just wow!,"Certified Buyer, Bengaluru",0.0,0.0,Mar 2020,OkREAD MORE,4,okread more,Positive
Harshit Singal,Great product,"Certified Buyer, Hisar",0.0,0.0,Mar 2020,GoodREAD MORE,4,goodread more,Positive
Flipkart Customer,Awesome,"Certified Buyer, Hoshangabad",0.0,0.0,Mar 2020,Good qualityREAD MORE,4,good qualityread more,Positive
Hardeep  Singh,Just wow!,"Certified Buyer, Nakodar",0.0,0.0,Mar 2020,Good cap very  very game so better......READ MORE,4,good cap very  very game so betterread more,Positive
Vinod Kumar,Awesome,"Certified Buyer, Pune",0.0,0.0,Mar 2020,good bestREAD MORE,5,good bestread more,Positive
Manoj Meher,Terrific purchase,"Certified Buyer, Nuapada District",0.0,0.0,Mar 2020,Very goodREAD MORE,4,very goodread more,Positive
Ashish Kumar,Awesome,"Certified Buyer, Bengaluru",0.0,0.0,Mar 2020,Product is nice and delivered in time..READ MORE,4,product is nice and delivered in timeread more,Positive
Flipkart Customer,Not recommended at all,"Certified Buyer, Akola",0.0,0.0,Mar 2020,goodREAD MORE,4,goodread more,Positive
Mohinder  Singh ,Perfect product!,"Certified Buyer, Kharar",0.0,0.0,Mar 2020,ExcellentREAD MORE,5,excellentread more,Positive
KADARBASHA,Delightful,"Certified Buyer, Chengalpattu District",0.0,0.0,Mar 2020,Original shuttle very fine for play outside too.READ MORE,5,original shuttle very fine for play outside tooread more,Positive
Sandeep Krishnan,Great product,"Certified Buyer, Thiruvananthapuram",0.0,0.0,Mar 2020,Nice productREAD MORE,5,nice productread more,Positive
Flipkart Customer,Pretty good,"Certified Buyer, Lohit District",0.0,0.0,Mar 2020,Very good shuttleREAD MORE,5,very good shuttleread more,Positive
ramana Kovvuri,Terrific purchase,"Certified Buyer, East Godavari",0.0,0.0,Mar 2020,Awesome product..READ MORE,5,awesome productread more,Positive
Flipkart Customer,Mind-blowing purchase,"Certified Buyer, Mejia Thermal Power Township",0.0,0.0,Mar 2020,ImpressedREAD MORE,5,impressedread more,Positive
Amogh Acharya,Simply awesome,"Certified Buyer, Bangalore",0.0,0.0,Mar 2020,NiceREAD MORE,5,niceread more,Positive
ARUP  Kumar,Good quality product,"Certified Buyer, Damanjodi",0.0,0.0,Mar 2020,Good productREAD MORE,5,good productread more,Positive
Ashutosh Kumar Pandit,Mind-blowing purchase,"Certified Buyer, Upper Tadong",0.0,0.0,Mar 2020,Long lastingREAD MORE,5,long lastingread more,Positive
Flipkart Customer,Mind-blowing purchase,"Certified Buyer, Vengara",0.0,0.0,Mar 2020,product is not good2 shuttles got broken in only 3 matches It's my advice don't buy itREAD MORE,1,product is not good2 shuttles got broken in only 3 matches its my advice dont buy itread more,Positive
Praja P,Moderate,"Certified Buyer, Vakkom",0.0,0.0,Mar 2020,Good product...thnx flipcartREAD MORE,5,good productthnx flipcartread more,Positive
Kant,Simply awesome,"Certified Buyer, Siralkoppa",0.0,0.0,Mar 2020,Yonex Mavis 350 Nice quality.....and delivery also on time thank u flipkart....READ MORE,4,yonex mavis 350 nice qualityand delivery also on time thank u flipkartread more,Positive
Utpal choudhury,Don't waste your money,"Certified Buyer, Barpeta",0.0,0.0,Mar 2020,Nice qualityREAD MORE,5,nice qualityread more,Positive
Flipkart Customer,Worth the money,"Certified Buyer, Chamarajanagar District",0.0,0.0,Mar 2020,Good productREAD MORE,4,good productread more,Positive
Bogulwar Ashok,Delightful,"Certified Buyer, Jath",0.0,0.0,Mar 2020,NiceREAD MORE,5,niceread more,Positive
Flipkart Customer,Very Good,"Certified Buyer, Nagpur",0.0,0.0,Mar 2020,Value for moneyREAD MORE,5,value for moneyread more,Positive
Robin  Puthussery,Wonderful,"Certified Buyer, Thrissur",0.0,0.0,Mar 2020,No words about this.... awesome productREAD MORE,5,no words about this awesome productread more,Positive
Chaitanya T,Very poor,"Certified Buyer, Mahindra World City",0.0,0.0,Mar 2020,I felling Very good when I play.READ MORE,4,i felling very good when i playread more,Positive
Tarun Majumder,Fabulous!,"Certified Buyer, Bengaluru",0.0,0.0,Mar 2020,Nice product.READ MORE,5,nice productread more,Positive
Naresh chandra Ray,Excellent,"Certified Buyer, Numaligarh Refinery Township",0.0,0.0,Mar 2020,greatREAD MORE,5,greatread more,Positive
Flipkart Customer,Worth every penny,"Certified Buyer, Bandikui",0.0,0.0,Mar 2020,After playing one match the... Cap is rotating..  poor quality..... Second quality..... 3 times i got second quality....yonex Cheating us......READ MORE,2,after playing one match the cap is rotating  poor quality second quality 3 times i got second qualityyonex cheating usread more,Positive
Flipkart Customer,Highly recommended,"Certified Buyer, Wayanad District",0.0,0.0,Mar 2020,Super Durable ShuttelsREAD MORE,5,super durable shuttelsread more,Positive
MANIVANNAN S,Good,"Certified Buyer, Kancheepuram",0.0,0.0,Mar 2020,Poor qualityREAD MORE,1,poor qualityread more,Positive
Ravindra  Sharma,Mind-blowing purchase,"Certified Buyer, Nepanagar",0.0,0.0,Mar 2020,niceREAD MORE,4,niceread more,Positive
Mark Alistair Laloo,Not recommended at all,"Certified Buyer, Shillong",0.0,0.0,Mar 2020,SuperREAD MORE,4,superread more,Positive
Flipkart Customer,Delightful,"Certified Buyer, Hubballi",0.0,0.0,Mar 2020,Nice productsREAD MORE,4,nice productsread more,Positive
Flipkart Customer,Worth the money,"Certified Buyer, Palwancha",0.0,0.0,Mar 2020,Good product good delivery serviceREAD MORE,5,good product good delivery serviceread more,Positive
praveen praveen,Fair,"Certified Buyer, Bengaluru",0.0,0.0,Mar 2020,The quality of the shuttle is very bad. The product received is defective. The cork is getting damaged only for one gameREAD MORE,1,the quality of the shuttle is very bad the product received is defective the cork is getting damaged only for one gameread more,Negative
Anil Mishra,Simply awesome,"Certified Buyer, Allahabad",0.0,0.0,Mar 2020,Awesome purchaseREAD MORE,5,awesome purchaseread more,Positive
MD ZIYAULLAH  Arsalan,Wonderful,"Certified Buyer, Saraikela Kharsawan District",0.0,0.0,Feb 2020,Good serveceREAD MORE,5,good serveceread more,Positive
Anji Nandavarapu,Just wow!,"Certified Buyer, Prakasam District",0.0,0.0,Feb 2020,Very nice and best priceREAD MORE,5,very nice and best priceread more,Positive
Ramhari Meena,Terrific purchase,"Certified Buyer, Thane",0.0,0.0,Feb 2020,GoodREAD MORE,5,goodread more,Positive
ARNOY BANIK,Value-for-money,"Certified Buyer, Burdwan",0.0,0.0,Feb 2020,Life time is less.READ MORE,3,life time is lessread more,Positive
AKHIL ARAVIND,Fair,"Certified Buyer, Kalpetta",0.0,0.0,Feb 2020,good product..READ MORE,5,good productread more,Positive
Arindam  Guha,Classy product,"Certified Buyer, Bengaluru",0.0,0.0,Feb 2020,"Very disappointed. The ones I bought on January was bad and did not last even a month. This is even worse. I ordered ""SLOW"" but God alone knows how- the shuttles are mostly SUPER FAST.. Sounds heavy the moment it touches the racket strings.?READ MORE",1,very disappointed the ones i bought on january was bad and did not last even a month this is even worse i ordered slow but god alone knows how the shuttles are mostly super fast sounds heavy the moment it touches the racket stringsread more,Negative
Animesh Singh,Very poor,"Certified Buyer, Ghaziabad",0.0,0.0,Feb 2020,Recomended for medium range players.READ MORE,4,recomended for medium range playersread more,Positive
bhargav khatri,Fabulous!,"Certified Buyer, Jetpur Navagadh",0.0,0.0,Feb 2020,Some are at yellow part getting dammage quickly other than that okREAD MORE,4,some are at yellow part getting dammage quickly other than that okread more,Positive
Narasimharao RAMARAJU ,Great product,"Certified Buyer, Eluru",0.0,0.0,Feb 2020,Average .READ MORE,3,average read more,Positive
Sreejith pp,Useless product,"Certified Buyer, Alappuzha",0.0,0.0,Feb 2020,Best in The MarketREAD MORE,5,best in the marketread more,Positive
Shobhit Kumar,Must buy!,"Certified Buyer, Rupnagar",0.0,0.0,Feb 2020,Good shuttleREAD MORE,4,good shuttleread more,Positive
Jaga,Terrific purchase,"Certified Buyer, Kendrapara",0.0,0.0,Feb 2020,Good product and delivery  thanks to flipcartREAD MORE,5,good product and delivery  thanks to flipcartread more,Positive
